x1,y1,x2,y2,type
129,0,202,73,suv
86,61,189,189,suv
129,21,210,116,suv
145,1,212,66,sedan
108,73,201,183,sedan
228,16,308,130,sedan
222,79,320,199,sedan
234,25,308,106,sedan
227,82,324,200,sedan
15,21,91,91,sedan
135,0,195,66,microbus
88,62,175,197,microbus
120,36,193,119,sedan
96,78,186,186,sedan
132,10,219,125,microbus
107,53,214,208,microbus
141,21,207,92,sedan
110,83,195,187,sedan
142,1,211,72,sedan
97,77,197,194,sedan
144,1,212,73,sedan
104,81,201,200,sedan
106,87,199,210,sedan
81,129,192,233,sedan
144,0,210,63,sedan
84,97,184,219,sedan
130,0,193,61,sedan
75,87,170,200,sedan
246,1,310,60,sedan
252,79,341,197,sedan
141,1,208,64,sedan
97,73,191,184,sedan
213,31,285,109,sedan
210,85,297,190,sedan
136,0,205,62,microbus
93,44,189,190,microbus
129,4,199,74,sedan
82,79,181,197,sedan
143,3,209,75,sedan
107,75,198,185,sedan
144,1,217,83,microbus
111,46,207,195,microbus
228,26,312,128,suv
150,1,216,63,sedan
114,77,205,186,sedan
69,12,156,109,suv
25,61,134,192,suv
113,46,195,146,sedan
95,77,188,192,sedan
117,28,192,111,sedan
83,83,180,200,sedan
137,4,206,78,sedan
96,71,193,183,sedan
152,1,215,72,sedan
21,11,98,105,microbus
115,68,205,188,sedan
120,11,198,110,suv
81,66,185,213,suv
142,14,213,97,sedan
110,80,204,200,sedan
147,11,218,87,sedan
113,84,208,203,sedan
100,37,183,124,sedan
77,77,172,186,sedan
134,10,206,83,sedan
94,85,193,203,sedan
87,35,164,118,sedan
131,1,206,74,sedan
91,68,191,191,sedan
94,30,184,149,microbus
76,56,178,196,microbus
134,12,207,89,sedan
95,81,193,200,sedan
151,1,216,65,sedan
102,92,199,209,sedan
137,1,199,76,suv
88,80,177,199,suv
226,1,285,60,sedan
225,90,314,197,sedan
123,0,196,89,suv
75,70,180,211,suv
123,1,185,82,microbus
80,57,164,188,microbus
149,21,228,105,sedan
124,75,223,194,sedan
116,43,199,133,sedan
96,73,192,184,sedan
137,0,219,93,microbus
94,64,207,218,microbus
140,0,213,70,suv
97,60,199,196,suv
245,2,310,72,sedan
248,76,337,188,sedan
116,19,193,105,sedan
102,43,186,142,sedan
250,127,356,232,sedan
85,73,180,190,sedan
97,1,169,67,sedan
37,80,143,201,sedan
185,1,259,77,microbus
159,38,267,194,microbus
84,31,173,127,sedan
54,75,160,198,sedan
234,40,315,129,sedan
235,81,328,192,sedan
136,21,207,95,sedan
105,81,196,186,sedan
104,53,182,144,sedan
85,86,172,194,sedan
248,1,312,67,sedan
252,83,346,203,sedan
38,4,111,73,sedan
142,1,213,84,microbus
111,46,205,186,microbus
90,10,199,185,microbus
119,1,183,64,sedan
68,73,160,182,sedan
240,28,316,108,sedan
1,24,79,103,sedan
239,87,336,201,sedan
104,27,180,139,microbus
87,52,173,181,microbus
204,32,286,156,microbus
198,60,290,206,microbus
95,48,175,136,sedan
76,82,166,189,sedan
228,39,311,131,sedan
225,74,321,188,sedan
140,0,207,63,sedan
95,70,192,192,sedan
126,0,189,68,sedan
79,72,169,190,sedan
19,19,93,89,sedan
143,1,208,70,sedan
236,0,301,65,microbus
234,11,314,128,microbus
122,38,202,126,sedan
102,73,194,183,sedan
228,48,327,193,microbus
103,73,194,183,sedan
230,49,327,198,microbus
103,30,181,119,sedan
74,79,169,197,sedan
106,48,184,137,sedan
91,80,177,187,sedan
112,38,200,133,sedan
94,73,193,195,sedan
130,50,216,150,sedan
117,73,212,189,sedan
159,0,220,64,sedan
130,72,217,185,sedan
131,0,198,63,sedan
80,80,177,199,sedan
116,1,208,107,microbus
82,11,200,192,microbus
79,31,186,200,microbus
135,12,208,89,sedan
99,79,199,200,sedan
123,29,201,112,sedan
88,88,186,210,sedan
127,10,198,88,sedan
84,84,183,209,sedan
243,0,356,208,minivan
222,45,300,136,sedan
147,0,205,55,microbus
136,1,202,81,microbus
217,83,309,196,sedan
136,34,216,132,sedan
119,68,213,189,sedan
104,47,188,143,sedan
84,83,179,200,sedan
160,0,221,65,sedan
124,81,213,190,sedan
234,27,323,148,suv
232,59,336,202,suv
208,7,287,106,microbus
209,59,307,200,microbus
87,35,169,122,sedan
54,84,153,203,sedan
240,31,316,112,sedan
242,81,332,188,sedan
238,0,300,60,sedan
238,95,334,217,sedan
134,1,208,81,microbus
92,46,193,195,microbus
229,3,297,79,sedan
226,77,320,203,sedan
167,0,228,63,sedan
133,76,221,187,sedan
235,44,310,130,sedan
233,89,324,199,sedan
235,106,329,228,sedan
132,1,199,94,minivan
89,59,182,196,minivan
120,30,199,117,sedan
93,75,189,190,sedan
249,1,322,93,minivan
248,50,358,185,minivan
146,1,209,60,sedan
102,81,193,191,sedan
87,26,180,135,suv
52,72,166,216,suv
139,14,215,95,sedan
110,77,208,200,sedan
137,2,210,98,microbus
107,45,201,189,microbus
134,30,211,121,sedan
111,75,203,198,sedan
229,1,295,68,sedan
215,85,315,215,sedan
152,0,215,52,sedan
106,80,202,197,sedan
108,39,190,128,sedan
84,77,181,191,sedan
121,3,190,95,microbus
83,60,175,191,microbus
158,0,221,60,sedan
132,71,227,187,sedan
112,48,195,142,sedan
